pit_date;hicp;time_series_value
1996-01-31;67,94;
1996-02-29;68,29;
1996-03-31;69,11;0,017221077
1996-04-30;69,32;0,015082735
1996-05-31;69,04;-0,001012878
1996-06-30;68,7;-0,008944028
1996-07-31;68,49;-0,007966396
1996-08-31;68,36;-0,004949054
1996-09-30;69,11;0,009052416
1996-10-31;69,32;0,0140433
1996-11-30;69,18;0,001012878
1996-12-31;69,11;-0,003029429
1997-01-31;69,11;-0,001011853
1997-02-28;69,25;0,002025756
1997-03-31;69,94;0,012009839
1997-04-30;70,01;0,010974729
1997-05-31;70,15;0,003002574
1997-06-30;69,73;-0,003999429
1997-07-31;69,8;-0,004989309
1997-08-31;70,08;0,00501936
1997-09-30;70,83;0,014756447
1997-10-31;70,9;0,011700913
1997-11-30;70,9;0,000988282
1997-12-31;70,63;-0,003808181
1998-01-31;70,21;-0,009732017
1998-02-28;70,7;0,00099108
1998-03-31;71,45;0,017661302
1998-04-30;71,73;0,0145686
1998-05-31;71,59;0,001959412
1998-06-30;71,25;-0,006691761
1998-07-31;71,04;-0,007682637
1998-08-31;71,04;-0,002947368
1998-09-30;71,73;0,009712838
1998-10-31;71,94;0,012668919
1998-11-30;71,94;0,002927645
1998-12-31;71,66;-0,003892132
1999-01-31;71,66;-0,003892132
1999-02-28;72,14;0,006698298
1999-03-31;72,9;0,017303935
1999-04-30;73,11;0,013446077
1999-05-31;73,11;0,002880658
1999-06-30;72,76;-0,004787307
1999-07-31;72,35;-0,010395295
1999-08-31;72,83;0,000962067
1999-09-30;73,17;0,011333794
1999-10-31;73,24;0,005629548
1999-11-30;73,38;0,002870029
1999-12-31;73,04;-0,002730748
2000-01-31;72,83;-0,00749523
2000-02-29;73,24;0,002738226
2000-03-31;74,07;0,017025951
2000-04-30;74,34;0,015019115
2000-05-31;74,55;0,006480356
2000-06-30;74,55;0,002824859
2000-07-31;74,34;-0,002816901
2000-08-31;74,62;0,000938967
2000-09-30;75,31;0,013048157
2000-10-31;75,58;0,012865184
2000-11-30;75,51;0,00265569
2000-12-31;75,17;-0,005424716
2001-01-31;76,21;0,009270295
2001-02-28;76,89;0,022881469
2001-03-31;77,77;0,020469755
2001-04-30;78,37;0,019248277
2001-05-31;78,63;0,011058249
2001-06-30;78,34;-0,0003828
2001-07-31;78,29;-0,004324049
2001-08-31;78,51;0,002170028
2001-09-30;79,33;0,013283944
2001-10-31;79,36;0,010826646
2001-11-30;79,14;-0,002395059
2001-12-31;79,04;-0,004032258
2002-01-31;79,91;0,009729593
2002-02-28;80,32;0,016194332
2002-03-31;81,17;0,015767739
2002-04-30;81,68;0,016932271
2002-05-31;81,6;0,005297524
2002-06-30;81,31;-0,004529873
2002-07-31;81,22;-0,004656863
2002-08-31;81,38;0,000860903
2002-09-30;82,17;0,011696626
2002-10-31;82,09;0,008724502
2002-11-30;81,72;-0,005476451
2002-12-31;81,58;-0,006212693
2003-01-31;82,07;0,004282917
2003-02-28;82,65;0,01311596
2003-03-31;83,4;0,016205678
2003-04-30;83,48;0,010042347
2003-05-31;83,43;0,000359712
2003-06-30;83,04;-0,005270724
2003-07-31;82,95;-0,005753326
