macro_code;pit_date;pit_index;pit_value;time_series_value
unemployment_rate;1970-12-31;0.0;0.016;0.016
unemployment_rate;1971-12-31;1.0;0.02;0.02
unemployment_rate;1972-12-31;2.0;0.029;0.029
unemployment_rate;1973-12-31;3.0;0.029;0.029
unemployment_rate;1974-12-31;4.0;0.033;0.033
unemployment_rate;1975-12-31;5.0;0.042;0.042
unemployment_rate;1976-12-31;6.0;0.046;0.046
unemployment_rate;1977-12-31;7.0;0.043;0.043
unemployment_rate;1978-12-31;8.0;0.044;0.044
unemployment_rate;1979-12-31;9.0;0.046;0.046
unemployment_rate;1980-12-31;10.0;0.045;0.045
unemployment_rate;1981-12-31;11.0;0.056;0.056
unemployment_rate;1982-12-31;12.0;0.074;0.074
unemployment_rate;1983-12-31;13.0;0.09;0.09
unemployment_rate;1984-12-31;14.0;0.088;0.088
unemployment_rate;1985-12-31;15.0;0.082;0.082
unemployment_rate;1986-12-31;16.0;0.075;0.075
unemployment_rate;1987-12-31;17.0;0.073;0.073
unemployment_rate;1988-12-31;18.0;0.073;0.073
unemployment_rate;1989-12-31;19.0;0.067;0.067
unemployment_rate;1990-12-31;20.0;0.061;0.061
unemployment_rate;1991-12-31;21.0;0.058;0.058
unemployment_rate;1992-12-31;22.0;0.058;0.058
unemployment_rate;1993-12-31;23.0;0.066;0.066
unemployment_rate;1994-12-31;24.0;0.073;0.073
hpi;1995-03-31;0.0;0.414;
hpi;1995-06-30;1.0;0.419;0.01207729468599035
hpi;1995-09-30;2.0;0.431;0.028639618138424847
hpi;1995-12-31;3.0;0.436;0.01160092807424595
unemployment_rate;1995-12-31;25.0;0.07;0.07
hicp;1996-01-31;;67.94;
hicp;1996-02-29;;68.29;0.0051516043567855245
gdp_growth;1996-03-31;0.0;0.024;0.024
hicp;1996-03-31;;69.11;0.01200761458485859
hpi;1996-03-31;4.0;0.448;0.02752293577981654
hicp;1996-04-30;;69.32;0.003038634061640772
hicp;1996-05-31;;69.04;-0.0040392383150604
gdp_growth;1996-06-30;1.0;0.04;0.04
hicp;1996-06-30;;68.7;-0.004924681344148369
hpi;1996-06-30;5.0;0.464;0.03571428571428575
hicp;1996-07-31;;68.49;-0.003056768558952081
hicp;1996-08-31;;68.36;-0.0018980873120162864
gdp_growth;1996-09-30;2.0;0.039;0.039
hicp;1996-09-30;;69.11;0.010971328262141603
hpi;1996-09-30;6.0;0.48;0.034482758620689564
hicp;1996-10-31;;69.32;0.003038634061640772
hicp;1996-11-30;;69.18;-0.0020196191575300977
gdp_growth;1996-12-31;3.0;0.037;0.037
hicp;1996-12-31;;69.11;-0.0010118531367448306
hpi;1996-12-31;7.0;0.49;0.020833333333333353
unemployment_rate;1996-12-31;26.0;0.065;0.065
hicp;1997-01-31;;69.11;0.0
inflation;1997-01-31;0.0;0.017;0.017
hicp;1997-02-28;;69.25;0.0020257560410939165
inflation;1997-02-28;1.0;0.014;0.014
gdp_growth;1997-03-31;4.0;0.038;0.038
hicp;1997-03-31;;69.94;0.009963898916967476
hpi;1997-03-31;8.0;0.506;0.03265306122448983
inflation;1997-03-31;2.0;0.012;0.012
hicp;1997-04-30;;70.01;0.0010008578781814039
inflation;1997-04-30;3.0;0.01;0.01
hicp;1997-05-31;;70.15;0.00199971432652479
inflation;1997-05-31;4.0;0.016;0.016
gdp_growth;1997-06-30;5.0;0.043;0.043
hicp;1997-06-30;;69.73;-0.005987170349251628
hpi;1997-06-30;9.0;0.52;0.027667984189723344
inflation;1997-06-30;5.0;0.015;0.015
hicp;1997-07-31;;69.8;0.0010038720780151035
inflation;1997-07-31;6.0;0.019;0.019
hicp;1997-08-31;;70.08;0.004011461318051592
inflation;1997-08-31;7.0;0.025;0.025
gdp_growth;1997-09-30;6.0;0.043;0.043
hicp;1997-09-30;;70.83;0.010702054794520547
hpi;1997-09-30;10.0;0.535;0.028846153846153872
inflation;1997-09-30;8.0;0.025;0.025
hicp;1997-10-31;;70.9;0.0009882818014966455
inflation;1997-10-31;9.0;0.023;0.023
hicp;1997-11-30;;70.9;0.0
inflation;1997-11-30;10.0;0.025;0.025
gdp_growth;1997-12-31;7.0;0.048;0.048
hicp;1997-12-31;;70.63;-0.0038081805359662935
hpi;1997-12-31;11.0;0.546;0.02056074766355142
inflation;1997-12-31;11.0;0.022;0.022
unemployment_rate;1997-12-31;27.0;0.059;0.059
hicp;1998-01-31;;70.21;-0.00594648166501489
inflation;1998-01-31;12.0;0.016;0.016
hicp;1998-02-28;;70.7;0.006979062811565434
inflation;1998-02-28;13.0;0.021;0.021
gdp_growth;1998-03-31;8.0;0.058;0.058
hicp;1998-03-31;;71.45;0.010608203677510608
hpi;1998-03-31;12.0;0.559;0.02380952380952383
inflation;1998-03-31;14.0;0.022;0.022
hicp;1998-04-30;;71.73;0.003918824352694208
inflation;1998-04-30;15.0;0.025;0.025
hicp;1998-05-31;;71.59;-0.0019517635577861502
inflation;1998-05-31;16.0;0.021;0.021
gdp_growth;1998-06-30;9.0;0.046;0.046
hicp;1998-06-30;;71.25;-0.004749266657354426
hpi;1998-06-30;13.0;0.574;0.026833631484794097
inflation;1998-06-30;17.0;0.022;0.022
hicp;1998-07-31;;71.04;-0.0029473684210525436
inflation;1998-07-31;18.0;0.018;0.018
hicp;1998-08-31;;71.04;0.0
inflation;1998-08-31;19.0;0.014;0.014
gdp_growth;1998-09-30;10.0;0.041;0.041
hicp;1998-09-30;;71.73;0.009712837837837805
hpi;1998-09-30;14.0;0.593;0.03310104529616728
inflation;1998-09-30;20.0;0.013;0.013
hicp;1998-10-31;;71.94;0.0029276453366791264
inflation;1998-10-31;21.0;0.015;0.015
hicp;1998-11-30;;71.94;0.0
inflation;1998-11-30;22.0;0.015;0.015
gdp_growth;1998-12-31;11.0;0.042;0.042
hicp;1998-12-31;;71.66;-0.003892132332499321
hpi;1998-12-31;15.0;0.61;0.028667790893760568
inflation;1998-12-31;23.0;0.015;0.015
unemployment_rate;1998-12-31;28.0;0.047;0.047
hicp;1999-01-31;;71.66;0.0
inflation;1999-01-31;24.0;0.021;0.021
hicp;1999-02-28;;72.14;0.00669829751604806
inflation;1999-02-28;25.0;0.02;0.02
gdp_growth;1999-03-31;12.0;0.044;0.044
hicp;1999-03-31;;72.9;0.010535070695869213
hpi;1999-03-31;16.0;0.634;0.039344262295082005
inflation;1999-03-31;26.0;0.02;0.02
hicp;1999-04-30;;73.11;0.0028806584362139056
inflation;1999-04-30;27.0;0.019;0.019
hicp;1999-05-31;;73.11;0.0
inflation;1999-05-31;28.0;0.021;0.021
gdp_growth;1999-06-30;13.0;0.047;0.047
hicp;1999-06-30;;72.76;-0.004787306797975575
hpi;1999-06-30;17.0;0.661;0.042586750788643574
inflation;1999-06-30;29.0;0.021;0.021
hicp;1999-07-31;;72.35;-0.005634964266080412
inflation;1999-07-31;30.0;0.018;0.018
hicp;1999-08-31;;72.83;0.006634416033172136
inflation;1999-08-31;31.0;0.025;0.025
gdp_growth;1999-09-30;14.0;0.05;0.05
hicp;1999-09-30;;73.17;0.004668405876699209
hpi;1999-09-30;18.0;0.696;0.05295007564296508
inflation;1999-09-30;32.0;0.02;0.02
hicp;1999-10-31;;73.24;0.0009566762334289077
inflation;1999-10-31;33.0;0.018;0.018
hicp;1999-11-30;;73.38;0.0019115237575095655
inflation;1999-11-30;34.0;0.02;0.02
gdp_growth;1999-12-31;15.0;0.061;0.061
hicp;1999-12-31;;73.04;-0.004633415099482001
hpi;1999-12-31;19.0;0.726;0.043103448275862113
inflation;1999-12-31;35.0;0.019;0.019
unemployment_rate;1999-12-31;29.0;0.041;0.041
hicp;2000-01-31;;72.83;-0.0028751369112815983
inflation;2000-01-31;36.0;0.016;0.016
hicp;2000-02-29;;73.24;0.005629548263078355
inflation;2000-02-29;37.0;0.015;0.015
gdp_growth;2000-03-31;16.0;0.053;0.053
hicp;2000-03-31;;74.07;0.01133260513380664
hpi;2000-03-31;20.0;0.759;0.0454545454545455
inflation;2000-03-31;38.0;0.016;0.016
hicp;2000-04-30;;74.34;0.00364520048602687
inflation;2000-04-30;39.0;0.017;0.017
hicp;2000-05-31;;74.55;0.0028248587570620627
inflation;2000-05-31;40.0;0.02;0.02
gdp_growth;2000-06-30;17.0;0.049;0.049
hicp;2000-06-30;;74.55;0.0
hpi;2000-06-30;21.0;0.789;0.03952569169960478
inflation;2000-06-30;41.0;0.025;0.025
hicp;2000-07-31;;74.34;-0.0028169014084506207
inflation;2000-07-31;42.0;0.028;0.028
hicp;2000-08-31;;74.62;0.003766478342749544
inflation;2000-08-31;43.0;0.025;0.025
gdp_growth;2000-09-30;18.0;0.037;0.037
hicp;2000-09-30;;75.31;0.009246850710265313
hpi;2000-09-30;22.0;0.823;0.04309252217997455
inflation;2000-09-30;44.0;0.029;0.029
hicp;2000-10-31;;75.58;0.00358518125082985
inflation;2000-10-31;45.0;0.032;0.032
hicp;2000-11-30;;75.51;-0.0009261709446942734
inflation;2000-11-30;46.0;0.029;0.029
gdp_growth;2000-12-31;19.0;0.03;0.03
hicp;2000-12-31;;75.17;-0.004502714872202402
hpi;2000-12-31;23.0;0.842;0.023086269744835988
inflation;2000-12-31;47.0;0.029;0.029
unemployment_rate;2000-12-31;30.0;0.036;0.036
hicp;2001-01-31;;76.21;0.013835306638286445
inflation;2001-01-31;48.0;0.046;0.046
hicp;2001-02-28;;76.89;0.00892271355465171
inflation;2001-02-28;49.0;0.05;0.05
gdp_growth;2001-03-31;20.0;0.028;0.028
hicp;2001-03-31;;77.77;0.011444921316165892
hpi;2001-03-31;24.0;0.862;0.023752969121140166
inflation;2001-03-31;50.0;0.05;0.05
hicp;2001-04-30;;78.37;0.007715057220007825
inflation;2001-04-30;51.0;0.054;0.054
hicp;2001-05-31;;78.63;0.003317596018884661
inflation;2001-05-31;52.0;0.055;0.055
gdp_growth;2001-06-30;21.0;0.029;0.029
hicp;2001-06-30;;78.34;-0.003688159735469821
hpi;2001-06-30;25.0;0.885;0.026682134570765684
inflation;2001-06-30;53.0;0.051;0.051
hicp;2001-07-31;;78.29;-0.0006382435537400709
inflation;2001-07-31;54.0;0.053;0.053
hicp;2001-08-31;;78.51;0.002810065142419196
inflation;2001-08-31;55.0;0.052;0.052
gdp_growth;2001-09-30;22.0;0.022;0.022
hicp;2001-09-30;;79.33;0.010444529359317197
hpi;2001-09-30;26.0;0.908;0.025988700564971774
inflation;2001-09-30;56.0;0.053;0.053
hicp;2001-10-31;;79.36;0.0003781671498802614
inflation;2001-10-31;57.0;0.05;0.05
hicp;2001-11-30;;79.14;-0.0027721774193548245
inflation;2001-11-30;58.0;0.048;0.048
gdp_growth;2001-12-31;23.0;0.014;0.014
hicp;2001-12-31;;79.04;-0.0012635835228707898
hpi;2001-12-31;27.0;0.916;0.008810572687224677
inflation;2001-12-31;59.0;0.051;0.051
unemployment_rate;2001-12-31;31.0;0.033;0.033
hicp;2002-01-31;;79.91;0.011007085020242792
inflation;2002-01-31;60.0;0.049;0.049
hicp;2002-02-28;;80.32;0.00513077211863342
inflation;2002-02-28;61.0;0.045;0.045
gdp_growth;2002-03-31;24.0;0.001;0.001
hicp;2002-03-31;;81.17;0.01058266932270927
hpi;2002-03-31;28.0;0.932;0.01746724890829696
inflation;2002-03-31;62.0;0.044;0.044
hicp;2002-04-30;;81.68;0.006283109523222929
inflation;2002-04-30;63.0;0.042;0.042
hicp;2002-05-31;;81.6;-0.0009794319294810542
inflation;2002-05-31;64.0;0.038;0.038
gdp_growth;2002-06-30;25.0;0.003;0.003
hicp;2002-06-30;;81.31;-0.003553921568627354
hpi;2002-06-30;29.0;0.945;0.013948497854077146
inflation;2002-06-30;65.0;0.038;0.038
hicp;2002-07-31;;81.22;-0.0011068749231337278
inflation;2002-07-31;66.0;0.037;0.037
hicp;2002-08-31;;81.38;0.0019699581383895172
inflation;2002-08-31;67.0;0.037;0.037
gdp_growth;2002-09-30;26.0;0.006;0.006
hicp;2002-09-30;;82.17;0.009707544851314897
hpi;2002-09-30;30.0;0.961;0.016931216931216946
inflation;2002-09-30;68.0;0.036;0.036
hicp;2002-10-31;;82.09;-0.0009735913350370973
inflation;2002-10-31;69.0;0.034;0.034
hicp;2002-11-30;;81.72;-0.004507248142282916
inflation;2002-11-30;70.0;0.033;0.033
gdp_growth;2002-12-31;27.0;-0.001;-0.001
hicp;2002-12-31;;81.58;-0.0017131669114048037
hpi;2002-12-31;31.0;0.96;-0.001040582726326744
inflation;2002-12-31;71.0;0.032;0.032
unemployment_rate;2002-12-31;32.0;0.039;0.039
hicp;2003-01-31;;82.07;0.0060063741113017275
inflation;2003-01-31;72.0;0.027;0.027
hicp;2003-02-28;;82.65;0.007067137809187432
inflation;2003-02-28;73.0;0.029;0.029
gdp_growth;2003-03-31;28.0;0.007;0.007
hicp;2003-03-31;;83.4;0.009074410163339382
hpi;2003-03-31;32.0;0.969;0.009375000000000008
inflation;2003-03-31;74.0;0.027;0.027
hicp;2003-04-30;;83.48;0.0009592326139088524
inflation;2003-04-30;75.0;0.022;0.022
hicp;2003-05-31;;83.43;-0.0005989458552946473
inflation;2003-05-31;76.0;0.022;0.022
gdp_growth;2003-06-30;29.0;-0.003;-0.003
hicp;2003-06-30;;83.04;-0.0046745774901114775
hpi;2003-06-30;33.0;0.979;0.010319917440660483
inflation;2003-06-30;77.0;0.021;0.021
hicp;2003-07-31;;82.95;-0.0010838150289017752
inflation;2003-07-31;78.0;0.021;0.021
hicp;2003-08-31;;83.16;0.0025316455696201778
inflation;2003-08-31;79.0;0.022;0.022
gdp_growth;2003-09-30;30.0;-0.002;-0.002
hicp;2003-09-30;;83.85;0.00829725829725827
hpi;2003-09-30;34.0;0.988;0.00919305413687437
inflation;2003-09-30;80.0;0.02;0.02
hicp;2003-10-31;;83.67;-0.002146690518783454
inflation;2003-10-31;81.0;0.019;0.019
hicp;2003-11-30;;83.39;-0.003346480219911571
inflation;2003-11-30;82.0;0.02;0.02
gdp_growth;2003-12-31;31.0;0.005;0.005
hicp;2003-12-31;;82.87;-0.00623575968341523
hpi;2003-12-31;35.0;0.999;0.011133603238866406
inflation;2003-12-31;83.0;0.016;0.016
unemployment_rate;2003-12-31;33.0;0.048;0.048
hicp;2004-01-31;;83.29;0.005068179075660694
inflation;2004-01-31;84.0;0.015;0.015
hicp;2004-02-29;;83.77;0.0057629967583142
inflation;2004-02-29;85.0;0.014;0.014
gdp_growth;2004-03-31;32.0;0.013;0.013
hicp;2004-03-31;;84.45;0.008117464486092955
hpi;2004-03-31;36.0;1.01;0.011011011011011021
inflation;2004-03-31;86.0;0.013;0.013
hicp;2004-04-30;;84.74;0.0034339846062758084
inflation;2004-04-30;87.0;0.015;0.015
hicp;2004-05-31;;84.88;0.0016521123436393742
inflation;2004-05-31;88.0;0.017;0.017
gdp_growth;2004-06-30;33.0;0.02;0.02
hicp;2004-06-30;;84.27;-0.007186616399622991
hpi;2004-06-30;37.0;1.021;0.010891089108910791
inflation;2004-06-30;89.0;0.015;0.015
hicp;2004-07-31;;83.97;-0.003559985760056926
inflation;2004-07-31;90.0;0.012;0.012
hicp;2004-08-31;;84.12;0.001786352268667449
inflation;2004-08-31;91.0;0.012;0.012
gdp_growth;2004-09-30;34.0;0.023;0.023
hicp;2004-09-30;;84.83;0.008440323347598594
hpi;2004-09-30;38.0;1.036;0.01469147894221364
inflation;2004-09-30;92.0;0.012;0.012
hicp;2004-10-31;;84.93;0.0011788282447248442
inflation;2004-10-31;93.0;0.015;0.015
hicp;2004-11-30;;84.62;-0.0036500647592134965
inflation;2004-11-30;94.0;0.015;0.015
gdp_growth;2004-12-31;35.0;0.023;0.023
hicp;2004-12-31;;83.92;-0.008272276057669614
hpi;2004-12-31;39.0;1.039;0.002895752895752791
inflation;2004-12-31;95.0;0.013;0.013
unemployment_rate;2004-12-31;34.0;0.057;0.057
hicp;2005-01-31;;84.34;0.005004766444232623
inflation;2005-01-31;96.0;0.013;0.013
hicp;2005-02-28;;84.99;0.00770690064026549
inflation;2005-02-28;97.0;0.015;0.015
gdp_growth;2005-03-31;36.0;0.009;0.009
hicp;2005-03-31;;85.73;0.00870690669490539
hpi;2005-03-31;40.0;1.049;0.009624639076034659
inflation;2005-03-31;98.0;0.015;0.015
hicp;2005-04-30;;85.83;0.0011664528169834866
inflation;2005-04-30;99.0;0.013;0.013
hicp;2005-05-31;;85.76;-0.0008155656530349899
inflation;2005-05-31;100.0;0.01;0.01
gdp_growth;2005-06-30;37.0;0.022;0.022
hicp;2005-06-30;;85.48;-0.0032649253731343413
hpi;2005-06-30;41.0;1.061;0.011439466158245959
inflation;2005-06-30;101.0;0.014;0.014
hicp;2005-07-31;;85.2;-0.003275620028076756
inflation;2005-07-31;102.0;0.015;0.015
hicp;2005-08-31;;85.52;0.0037558685446008586
inflation;2005-08-31;103.0;0.017;0.017
gdp_growth;2005-09-30;38.0;0.026;0.026
hicp;2005-09-30;;86.23;0.00830215154349869
hpi;2005-09-30;42.0;1.074;0.012252591894439325
inflation;2005-09-30;104.0;0.017;0.017
hicp;2005-10-31;;86.22;-0.00011596892032941105
inflation;2005-10-31;105.0;0.015;0.015
hicp;2005-11-30;;85.99;-0.00266759452563215
inflation;2005-11-30;106.0;0.016;0.016
gdp_growth;2005-12-31;39.0;0.024;0.024
hicp;2005-12-31;;85.6;-0.004535411094313299
hpi;2005-12-31;43.0;1.081;0.006517690875232677
inflation;2005-12-31;107.0;0.02;0.02
unemployment_rate;2005-12-31;35.0;0.059;0.059
hicp;2006-01-31;;85.81;0.0024532710280374763
inflation;2006-01-31;108.0;0.017;0.017
hicp;2006-02-28;;86.24;0.005011070970749243
inflation;2006-02-28;109.0;0.015;0.015
gdp_growth;2006-03-31;40.0;0.037;0.037
hicp;2006-03-31;;86.93;0.008000927643784926
hpi;2006-03-31;44.0;1.097;0.014801110083256257
inflation;2006-03-31;110.0;0.014;0.014
hicp;2006-04-30;;87.34;0.004716438513746653
inflation;2006-04-30;111.0;0.018;0.018
hicp;2006-05-31;;87.3;-0.00045798030684687715
inflation;2006-05-31;112.0;0.018;0.018
gdp_growth;2006-06-30;41.0;0.036;0.036
hicp;2006-06-30;;87.01;-0.003321878579610447
hpi;2006-06-30;45.0;1.11;0.011850501367365655
inflation;2006-06-30;113.0;0.018;0.018
hicp;2006-07-31;;86.71;-0.003447879554074375
inflation;2006-07-31;114.0;0.018;0.018
hicp;2006-08-31;;87.12;0.004728405028255228
inflation;2006-08-31;115.0;0.019;0.019
gdp_growth;2006-09-30;42.0;0.033;0.033
hicp;2006-09-30;;87.54;0.0048209366391184765
hpi;2006-09-30;46.0;1.124;0.012612612612612623
inflation;2006-09-30;116.0;0.015;0.015
hicp;2006-10-31;;87.39;-0.0017135023989034233
inflation;2006-10-31;117.0;0.014;0.014
hicp;2006-11-30;;87.37;-0.00022885913720100721
inflation;2006-11-30;118.0;0.016;0.016
gdp_growth;2006-12-31;43.0;0.033;0.033
hicp;2006-12-31;;87.07;-0.0034336728854299113
hpi;2006-12-31;47.0;1.129;0.0044483985765123605
inflation;2006-12-31;119.0;0.017;0.017
unemployment_rate;2006-12-31;36.0;0.05;0.05
hicp;2007-01-31;;86.86;-0.0024118525324450875
inflation;2007-01-31;120.0;0.012;0.012
hicp;2007-02-28;;87.42;0.006447156343541357
inflation;2007-02-28;121.0;0.014;0.014
gdp_growth;2007-03-31;44.0;0.034;0.034
hicp;2007-03-31;;88.55;0.012926103866392077
hpi;2007-03-31;48.0;1.142;0.011514614703277148
inflation;2007-03-31;122.0;0.019;0.019
hicp;2007-04-30;;89.04;0.0055335968379447665
inflation;2007-04-30;123.0;0.019;0.019
hicp;2007-05-31;;89.07;0.0003369272237195297
inflation;2007-05-31;124.0;0.02;0.02
gdp_growth;2007-06-30;45.0;0.032;0.032
hicp;2007-06-30;;88.61;-0.005164477377343593
hpi;2007-06-30;49.0;1.156;0.01225919439579686
inflation;2007-06-30;125.0;0.018;0.018
hicp;2007-07-31;;87.94;-0.007561223338223696
inflation;2007-07-31;126.0;0.014;0.014
hicp;2007-08-31;;88.05;0.001250852854218779
inflation;2007-08-31;127.0;0.011;0.011
gdp_growth;2007-09-30;46.0;0.042;0.042
hicp;2007-09-30;;88.66;0.006927881885292441
hpi;2007-09-30;50.0;1.173;0.014705882352941287
inflation;2007-09-30;128.0;0.013;0.013
hicp;2007-10-31;;88.79;0.001466275659824156
inflation;2007-10-31;129.0;0.016;0.016
hicp;2007-11-30;;88.93;0.001576754138979621
inflation;2007-11-30;130.0;0.018;0.018
gdp_growth;2007-12-31;47.0;0.042;0.042
hicp;2007-12-31;;88.45;-0.0053975036545598105
hpi;2007-12-31;51.0;1.177;0.003410059676044334
inflation;2007-12-31;131.0;0.016;0.016
unemployment_rate;2007-12-31;37.0;0.042;0.042
hicp;2008-01-31;;88.42;-0.00033917467495761603
inflation;2008-01-31;132.0;0.018;0.018
hicp;2008-02-29;;89.17;0.008482243836236145
inflation;2008-02-29;133.0;0.02;0.02
gdp_growth;2008-03-31;48.0;0.034;0.034
hicp;2008-03-31;;90.23;0.011887406078277473
hpi;2008-03-31;52.0;1.192;0.012744265080713595
inflation;2008-03-31;134.0;0.019;0.019
hicp;2008-04-30;;90.55;0.0035464922974619657
inflation;2008-04-30;135.0;0.017;0.017
hicp;2008-05-31;;90.92;0.004086140254003364
inflation;2008-05-31;136.0;0.021;0.021
gdp_growth;2008-06-30;49.0;0.033;0.033
hicp;2008-06-30;;90.66;-0.0028596568411791146
hpi;2008-06-30;53.0;1.193;0.0008389261744967382
inflation;2008-06-30;137.0;0.023;0.023
hicp;2008-07-31;;90.55;-0.0012133245091550788
inflation;2008-07-31;138.0;0.03;0.03
hicp;2008-08-31;;90.67;0.0013252346769740977
inflation;2008-08-31;139.0;0.03;0.03
gdp_growth;2008-09-30;50.0;0.024;0.024
hicp;2008-09-30;;91.13;0.005073342891805379
