pit_date;pit_value;macro_code
1996-01-31;67.94;hicp
1996-02-29;68.29;hicp
1996-03-31;69.11;hicp
1996-04-30;69.32;hicp
1996-05-31;69.04;hicp
1996-06-30;68.7;hicp
1996-07-31;68.49;hicp
1996-08-31;68.36;hicp
1996-09-30;69.11;hicp
1996-10-31;69.32;hicp
1996-11-30;69.18;hicp
1996-12-31;69.11;hicp
1997-01-31;69.11;hicp
1997-02-28;69.25;hicp
1997-03-31;69.94;hicp
1997-04-30;70.01;hicp
1997-05-31;70.15;hicp
1997-06-30;69.73;hicp
1997-07-31;69.8;hicp
1997-08-31;70.08;hicp
1997-09-30;70.83;hicp
1997-10-31;70.9;hicp
1997-11-30;70.9;hicp
1997-12-31;70.63;hicp
1998-01-31;70.21;hicp
1998-02-28;70.7;hicp
1998-03-31;71.45;hicp
1998-04-30;71.73;hicp
1998-05-31;71.59;hicp
1998-06-30;71.25;hicp
1998-07-31;71.04;hicp
1998-08-31;71.04;hicp
1998-09-30;71.73;hicp
1998-10-31;71.94;hicp
1998-11-30;71.94;hicp
1998-12-31;71.66;hicp
1999-01-31;71.66;hicp
1999-02-28;72.14;hicp
1999-03-31;72.9;hicp
1999-04-30;73.11;hicp
1999-05-31;73.11;hicp
1999-06-30;72.76;hicp
1999-07-31;72.35;hicp
1999-08-31;72.83;hicp
1999-09-30;73.17;hicp
1999-10-31;73.24;hicp
1999-11-30;73.38;hicp
1999-12-31;73.04;hicp
2000-01-31;72.83;hicp
2000-02-29;73.24;hicp
2000-03-31;74.07;hicp
2000-04-30;74.34;hicp
2000-05-31;74.55;hicp
2000-06-30;74.55;hicp
2000-07-31;74.34;hicp
2000-08-31;74.62;hicp
2000-09-30;75.31;hicp
2000-10-31;75.58;hicp
2000-11-30;75.51;hicp
2000-12-31;75.17;hicp
2001-01-31;76.21;hicp
2001-02-28;76.89;hicp
2001-03-31;77.77;hicp
2001-04-30;78.37;hicp
2001-05-31;78.63;hicp
2001-06-30;78.34;hicp
2001-07-31;78.29;hicp
2001-08-31;78.51;hicp
2001-09-30;79.33;hicp
2001-10-31;79.36;hicp
2001-11-30;79.14;hicp
2001-12-31;79.04;hicp
2002-01-31;79.91;hicp
2002-02-28;80.32;hicp
2002-03-31;81.17;hicp
2002-04-30;81.68;hicp
2002-05-31;81.6;hicp
2002-06-30;81.31;hicp
2002-07-31;81.22;hicp
2002-08-31;81.38;hicp
2002-09-30;82.17;hicp
2002-10-31;82.09;hicp
2002-11-30;81.72;hicp
2002-12-31;81.58;hicp
2003-01-31;82.07;hicp
2003-02-28;82.65;hicp
2003-03-31;83.4;hicp
2003-04-30;83.48;hicp
2003-05-31;83.43;hicp
2003-06-30;83.04;hicp
2003-07-31;82.95;hicp
2003-08-31;83.16;hicp
2003-09-30;83.85;hicp
2003-10-31;83.67;hicp
2003-11-30;83.39;hicp
2003-12-31;82.87;hicp
2004-01-31;83.29;hicp
2004-02-29;83.77;hicp
2004-03-31;84.45;hicp
2004-04-30;84.74;hicp
2004-05-31;84.88;hicp
2004-06-30;84.27;hicp
2004-07-31;83.97;hicp
2004-08-31;84.12;hicp
2004-09-30;84.83;hicp
2004-10-31;84.93;hicp
2004-11-30;84.62;hicp
2004-12-31;83.92;hicp
2005-01-31;84.34;hicp
2005-02-28;84.99;hicp
2005-03-31;85.73;hicp
2005-04-30;85.83;hicp
2005-05-31;85.76;hicp
2005-06-30;85.48;hicp
2005-07-31;85.2;hicp
2005-08-31;85.52;hicp
2005-09-30;86.23;hicp
2005-10-31;86.22;hicp
2005-11-30;85.99;hicp
2005-12-31;85.6;hicp
2006-01-31;85.81;hicp
2006-02-28;86.24;hicp
2006-03-31;86.93;hicp
2006-04-30;87.34;hicp
2006-05-31;87.3;hicp
2006-06-30;87.01;hicp
2006-07-31;86.71;hicp
2006-08-31;87.12;hicp
2006-09-30;87.54;hicp
2006-10-31;87.39;hicp
2006-11-30;87.37;hicp
2006-12-31;87.07;hicp
2007-01-31;86.86;hicp
2007-02-28;87.42;hicp
2007-03-31;88.55;hicp
2007-04-30;89.04;hicp
2007-05-31;89.07;hicp
2007-06-30;88.61;hicp
2007-07-31;87.94;hicp
2007-08-31;88.05;hicp
2007-09-30;88.66;hicp
2007-10-31;88.79;hicp
2007-11-30;88.93;hicp
2007-12-31;88.45;hicp
2008-01-31;88.42;hicp
2008-02-29;89.17;hicp
2008-03-31;90.23;hicp
2008-04-30;90.55;hicp
2008-05-31;90.92;hicp
2008-06-30;90.66;hicp
2008-07-31;90.55;hicp
2008-08-31;90.67;hicp
2008-09-30;91.13;hicp
2008-10-31;90.98;hicp
2008-11-30;90.61;hicp
2008-12-31;89.91;hicp
2009-01-31;89.95;hicp
2009-02-28;90.83;hicp
2009-03-31;91.89;hicp
2009-04-30;92.21;hicp
2009-05-31;92.31;hicp
2009-06-30;91.9;hicp
2009-07-31;90.43;hicp
2009-08-31;90.61;hicp
2009-09-30;91.11;hicp
2009-10-31;91.35;hicp
2009-11-30;91.21;hicp
2009-12-31;90.56;hicp
2010-01-31;90.3;hicp
2010-02-28;91.15;hicp
2010-03-31;92.49;hicp
2010-04-30;92.81;hicp
2010-05-31;92.72;hicp
2010-06-30;92.11;hicp
2010-07-31;91.57;hicp
2010-08-31;91.7;hicp
2010-09-30;92.39;hicp
2010-10-31;92.61;hicp
2010-11-30;92.47;hicp
2010-12-31;92.23;hicp
2011-01-31;92.01;hicp
2011-02-28;92.93;hicp
2011-03-31;94.2;hicp
2011-04-30;94.77;hicp
2011-05-31;94.84;hicp
2011-06-30;94.23;hicp
2011-07-31;94.54;hicp
2011-08-31;94.65;hicp
2011-09-30;95.12;hicp
2011-10-31;95.22;hicp
2011-11-30;94.84;hicp
2011-12-31;94.54;hicp
2012-01-31;94.66;hicp
2012-02-29;95.6;hicp
2012-03-31;96.93;hicp
2012-04-30;97.39;hicp
2012-05-31;97.17;hicp
2012-06-30;96.59;hicp
2012-07-31;97;hicp
2012-08-31;97.07;hicp
2012-09-30;97.54;hicp
2012-10-31;98.33;hicp
2012-11-30;97.85;hicp
2012-12-31;97.73;hicp
2013-01-31;97.7;hicp
2013-02-28;98.7;hicp
2013-03-31;100.02;hicp
2013-04-30;100.1;hicp
2013-05-31;100.14;hicp
2013-06-30;99.65;hicp
2013-07-31;100;hicp
2013-08-31;99.78;hicp
2013-09-30;99.86;hicp
2013-10-31;99.61;hicp
2013-11-30;99.02;hicp
2013-12-31;99.1;hicp
2014-01-31;98.48;hicp
2014-02-28;99.07;hicp
2014-03-31;100.16;hicp
2014-04-30;100.74;hicp
2014-05-31;100.28;hicp
2014-06-30;99.92;hicp
2014-07-31;100.26;hicp
2014-08-31;100.14;hicp
2014-09-30;100.12;hicp
2014-10-31;100;hicp
2014-11-30;99.27;hicp
2014-12-31;99.04;hicp
2015-01-31;97.82;hicp
2015-02-28;98.62;hicp
2015-03-31;99.88;hicp
2015-04-30;100.71;hicp
2015-05-31;100.97;hicp
2015-06-30;100.4;hicp
2015-07-31;101.07;hicp
2015-08-31;100.58;hicp
2015-09-30;100.4;hicp
2015-10-31;100.4;hicp
2015-11-30;99.64;hicp
2015-12-31;99.53;hicp
2016-01-31;98.03;hicp
2016-02-29;98.94;hicp
2016-03-31;100.4;hicp
2016-04-30;100.51;hicp
2016-05-31;100.75;hicp
2016-06-30;100.2;hicp
2016-07-31;100.5;hicp
2016-08-31;100.67;hicp
2016-09-30;100.31;hicp
2016-10-31;100.67;hicp
2016-11-30;100.02;hicp
2016-12-31;100.27;hicp
2017-01-31;99.64;hicp
2017-02-28;100.58;hicp
2017-03-31;101.03;hicp
2017-04-30;101.94;hicp
2017-05-31;101.49;hicp
2017-06-30;101.17;hicp
2017-07-31;102;hicp
2017-08-31;102.18;hicp
2017-09-30;101.75;hicp
2017-10-31;101.97;hicp
2017-11-30;101.57;hicp
2017-12-31;101.49;hicp
2018-01-31;101.12;hicp
2018-02-28;101.84;hicp
2018-03-31;102.06;hicp
2018-04-30;102.99;hicp
2018-05-31;103.41;hicp
2018-06-30;102.85;hicp
