macro_code;pit_date;pit_index;pit_value
unemployment_rate;1970-12-31;0;0.016
unemployment_rate;1971-12-31;1;0.020
unemployment_rate;1972-12-31;2;0.029
unemployment_rate;1973-12-31;3;0.029
unemployment_rate;1974-12-31;4;0.033
unemployment_rate;1975-12-31;5;0.042
unemployment_rate;1976-12-31;6;0.046
unemployment_rate;1977-12-31;7;0.043
unemployment_rate;1978-12-31;8;0.044
unemployment_rate;1979-12-31;9;0.046
unemployment_rate;1980-12-31;10;0.045
unemployment_rate;1981-12-31;11;0.056
unemployment_rate;1982-12-31;12;0.074
unemployment_rate;1983-12-31;13;0.090
unemployment_rate;1984-12-31;14;0.088
unemployment_rate;1985-12-31;15;0.082
unemployment_rate;1986-12-31;16;0.075
unemployment_rate;1987-12-31;17;0.073
unemployment_rate;1988-12-31;18;0.073
unemployment_rate;1989-12-31;19;0.067
unemployment_rate;1990-12-31;20;0.061
unemployment_rate;1991-12-31;21;0.058
unemployment_rate;1992-12-31;22;0.058
unemployment_rate;1993-12-31;23;0.066
unemployment_rate;1994-12-31;24;0.073
unemployment_rate;1995-12-31;25;0.070
unemployment_rate;1996-12-31;26;0.065
unemployment_rate;1997-12-31;27;0.059
unemployment_rate;1998-12-31;28;0.047
unemployment_rate;1999-12-31;29;0.041
unemployment_rate;2000-12-31;30;0.036
unemployment_rate;2001-12-31;31;0.033
unemployment_rate;2002-12-31;32;0.039
unemployment_rate;2003-12-31;33;0.048
unemployment_rate;2004-12-31;34;0.057
unemployment_rate;2005-12-31;35;0.059
unemployment_rate;2006-12-31;36;0.050
unemployment_rate;2007-12-31;37;0.042
unemployment_rate;2008-12-31;38;0.037
unemployment_rate;2009-12-31;39;0.044
unemployment_rate;2010-12-31;40;0.050
unemployment_rate;2011-12-31;41;0.050
unemployment_rate;2012-12-31;42;0.058
unemployment_rate;2013-12-31;43;0.073
unemployment_rate;2014-12-31;44;0.074
unemployment_rate;2015-12-31;45;0.069
unemployment_rate;2016-12-31;46;0.060
unemployment_rate;2017-12-31;47;0.049
unemployment_rate;2018-12-31;48;0.038
unemployment_rate;2019-12-31;49;0.034
unemployment_rate;2020-12-31;50;0.038
unemployment_rate;2021-12-31;51;0.042
unemployment_rate;2022-12-31;52;0.035
unemployment_rate;2023-12-31;51;0.042
gdp_growth;1996-03-31;0;0.024
gdp_growth;1996-06-30;1;0.040
gdp_growth;1996-09-30;2;0.039
gdp_growth;1996-12-31;3;0.037
gdp_growth;1997-03-31;4;0.038
gdp_growth;1997-06-30;5;0.043
gdp_growth;1997-09-30;6;0.043
gdp_growth;1997-12-31;7;0.048
gdp_growth;1998-03-31;8;0.058
gdp_growth;1998-06-30;9;0.046
gdp_growth;1998-09-30;10;0.041
gdp_growth;1998-12-31;11;0.042
gdp_growth;1999-03-31;12;0.044
gdp_growth;1999-06-30;13;0.047
gdp_growth;1999-09-30;14;0.050
gdp_growth;1999-12-31;15;0.061
gdp_growth;2000-03-31;16;0.053
gdp_growth;2000-06-30;17;0.049
gdp_growth;2000-09-30;18;0.037
gdp_growth;2000-12-31;19;0.030
gdp_growth;2001-03-31;20;0.028
gdp_growth;2001-06-30;21;0.029
gdp_growth;2001-09-30;22;0.022
gdp_growth;2001-12-31;23;0.014
gdp_growth;2002-03-31;24;0.001
gdp_growth;2002-06-30;25;0.003
gdp_growth;2002-09-30;26;0.006
gdp_growth;2002-12-31;27;-0.001
gdp_growth;2003-03-31;28;0.007
gdp_growth;2003-06-30;29;-0.003
gdp_growth;2003-09-30;30;-0.002
gdp_growth;2003-12-31;31;0.005
gdp_growth;2004-03-31;32;0.013
gdp_growth;2004-06-30;33;0.020
gdp_growth;2004-09-30;34;0.023
gdp_growth;2004-12-31;35;0.023
gdp_growth;2005-03-31;36;0.009
gdp_growth;2005-06-30;37;0.022
gdp_growth;2005-09-30;38;0.026
gdp_growth;2005-12-31;39;0.024
gdp_growth;2006-03-31;40;0.037
gdp_growth;2006-06-30;41;0.036
gdp_growth;2006-09-30;42;0.033
gdp_growth;2006-12-31;43;0.033
gdp_growth;2007-03-31;44;0.034
gdp_growth;2007-06-30;45;0.032
gdp_growth;2007-09-30;46;0.042
gdp_growth;2007-12-31;47;0.042
gdp_growth;2008-03-31;48;0.034
gdp_growth;2008-06-30;49;0.033
gdp_growth;2008-09-30;50;0.024
gdp_growth;2008-12-31;51;-0.004
gdp_growth;2009-03-31;52;-0.038
gdp_growth;2009-06-30;53;-0.046
gdp_growth;2009-09-30;54;-0.038
gdp_growth;2009-12-31;55;-0.024
gdp_growth;2010-03-31;56;-0.001
gdp_growth;2010-06-30;57;0.019
gdp_growth;2010-09-30;58;0.017
gdp_growth;2010-12-31;59;0.019
gdp_growth;2011-03-31;60;0.028
gdp_growth;2011-06-30;61;0.021
gdp_growth;2011-09-30;62;0.014
gdp_growth;2011-12-31;63;0.000
gdp_growth;2012-03-31;64;-0.011
gdp_growth;2012-06-30;65;-0.006
gdp_growth;2012-09-30;66;-0.012
gdp_growth;2012-12-31;67;-0.012
gdp_growth;2013-03-31;68;-0.017
gdp_growth;2013-06-30;69;-0.005
gdp_growth;2013-09-30;70;0.003
gdp_growth;2013-12-31;71;0.014
gdp_growth;2014-03-31;72;0.013
gdp_growth;2014-06-30;73;0.014
gdp_growth;2014-09-30;74;0.011
gdp_growth;2014-12-31;75;0.018
gdp_growth;2015-03-31;76;0.019
gdp_growth;2015-06-30;77;0.021
gdp_growth;2015-09-30;78;0.025
gdp_growth;2015-12-31;79;0.014
gdp_growth;2016-03-31;80;0.021
gdp_growth;2016-06-30;81;0.023
gdp_growth;2016-09-30;82;0.021
gdp_growth;2016-12-31;83;0.022
gdp_growth;2017-03-31;84;0.032
gdp_growth;2017-06-30;85;0.030
gdp_growth;2017-09-30;86;0.028
gdp_growth;2017-12-31;87;0.026
gdp_growth;2018-03-31;88;0.026
gdp_growth;2018-06-30;89;0.027
gdp_growth;2018-09-30;90;0.022
gdp_growth;2018-12-31;91;0.019
gdp_growth;2019-03-31;92;0.018
gdp_growth;2019-06-30;93;0.019
gdp_growth;2019-09-30;94;0.021
gdp_growth;2019-12-31;95;0.020
gdp_growth;2020-03-31;96;-0.003
gdp_growth;2020-06-30;97;-0.088
gdp_growth;2020-09-30;98;-0.033
gdp_growth;2020-12-31;99;-0.029
gdp_growth;2021-03-31;100;-0.011
gdp_growth;2021-06-30;101;0.118
gdp_growth;2021-09-30;102;0.069
gdp_growth;2021-12-31;103;0.074
gdp_growth;2022-03-31;104;0.064
gdp_growth;2022-06-30;105;0.052
gdp_growth;2022-09-30;106;0.030
gdp_growth;2022-12-31;107;0.029
gdp_growth;2023-03-31;108;0.019
gdp_growth;2023-06-30;109;-0.003
gdp_growth;2023-09-30;110;-0.007
hpi;1995-03-31;0;0.414
hpi;1995-06-30;1;0.419
hpi;1995-09-30;2;0.431
hpi;1995-12-31;3;0.436
hpi;1996-03-31;4;0.448
hpi;1996-06-30;5;0.464
hpi;1996-09-30;6;0.480
hpi;1996-12-31;7;0.490
hpi;1997-03-31;8;0.506
hpi;1997-06-30;9;0.520
hpi;1997-09-30;10;0.535
hpi;1997-12-31;11;0.546
hpi;1998-03-31;12;0.559
hpi;1998-06-30;13;0.574
hpi;1998-09-30;14;0.593
hpi;1998-12-31;15;0.610
hpi;1999-03-31;16;0.634
hpi;1999-06-30;17;0.661
hpi;1999-09-30;18;0.696
hpi;1999-12-31;19;0.726
hpi;2000-03-31;20;0.759
hpi;2000-06-30;21;0.789
hpi;2000-09-30;22;0.823
hpi;2000-12-31;23;0.842
hpi;2001-03-31;24;0.862
hpi;2001-06-30;25;0.885
hpi;2001-09-30;26;0.908
hpi;2001-12-31;27;0.916
hpi;2002-03-31;28;0.932
hpi;2002-06-30;29;0.945
hpi;2002-09-30;30;0.961
hpi;2002-12-31;31;0.960
hpi;2003-03-31;32;0.969
hpi;2003-06-30;33;0.979
hpi;2003-09-30;34;0.988
hpi;2003-12-31;35;0.999
hpi;2004-03-31;36;1.010
hpi;2004-06-30;37;1.021
hpi;2004-09-30;38;1.036
hpi;2004-12-31;39;1.039
hpi;2005-03-31;40;1.049
hpi;2005-06-30;41;1.061
hpi;2005-09-30;42;1.074
hpi;2005-12-31;43;1.081
hpi;2006-03-31;44;1.097
hpi;2006-06-30;45;1.110
hpi;2006-09-30;46;1.124
hpi;2006-12-31;47;1.129
hpi;2007-03-31;48;1.142
hpi;2007-06-30;49;1.156
hpi;2007-09-30;50;1.173
hpi;2007-12-31;51;1.177
hpi;2008-03-31;52;1.192
hpi;2008-06-30;53;1.193
hpi;2008-09-30;54;1.206
hpi;2008-12-31;55;1.197
